"Source","Target"
William Adam,ESL
William (1) Adams,ESL
William (2) Adams,ESL
Louis Agassiz,ESL
Augustine Aglio,ESL
William Francis Harrison Ainsworth,ESL
Alexander Muirhead Aitken,ESL
Rutherford Alcock,ESL
William Aldam,ESL
William Allen,ESL
William Amhurst Tyssen Amhurst,ESL
W  P Andrew,ESL
x Andrews,ESL
Matthew John Anketell,ESL
Thomas Chisholm Anstey,ESL
x Antrim,ESL
William Appleyard,ESL
Frederick Scott Archer,ESL
William Armstrong,ESL
William Arthur,ESL
James Ashbury,ESL
William Henry Ashurst,ESL
Henry Ashworth,ESL
Charles A Atkins,ESL
E Atkinson,ESL
Alois Auer,ESL
Arthur Daniel Aulton,ESL
Edward Backhouse,ESL
James (1) Backhouse,ESL
Carl Ernst von Baer,ESL
John Bagehot,ESL
Walter ('Badgett') Bagehot,ESL
John Baker,ESL
Samuel C Baker,ESL
William Bailey Baker,ESL
George Balfour,ESL
John Bannister,ESL
John  Wheeldon Barnes,ESL
Robert Barnewall,ESL
John Stothert Bartrum,ESL
Adolf Bastian,ESL
Thomas Bateman,ESL
Thomas Henry Baylis,ESL
Lionel John Beale,ESL
Frank Carr Beard,ESL
William Beattie,ESL
Richard Beaumont,ESL
x Beechey,ESL
James Bell,ESL
John Bell (2),ESL
Robert Bell,ESL
William Abraham Bell,ESL
Lewis F Bellot,ESL
Richard Bentley,ESL
Bartholomew Bernasconi,ESL
Thomas Bigg,ESL
R S Birkbeck,ESL
W H Black,ESL
William Blackmore,ESL
J H Blackwell,ESL
Henry Jules Blanc,ESL
Henry George Bohn,ESL
John Peter Boileau,ESL
Henry James Bolding,ESL
William Bollaert,ESL
Louis Lucien Bonaparte,ESL
E Bonavia,ESL
George Bonavia,ESL
George Bonham,ESL
James Bonwick,ESL
Beriah Botfield,ESL
x Boucher de Crevecoeur de Perthes,ESL
x Boudin,ESL
x Bourien,ESL
Philip Bourjeaurd,ESL
Sydney Edward Bouverie Bouverie-Pusey,ESL
Frederick Bower,ESL
Robert Bowie,ESL
John Bowring,ESL
William Boxall,ESL
Charles Holt Bracebridge,ESL
Thomas Braddell,ESL
James Brady,ESL
William Bragge,ESL
Thomas Henry Brain,ESL
William Brent Brent,ESL
D J Breuneis,ESL
Edmund J Bridell,ESL
John Briggs,ESL
Lindsay Brine,ESL
Benjamin Collins Brodie,ESL
Henry (1) Brookes,ESL
x Brougham,ESL
John Brown,ESL
J  Cave Browne,ESL
Henry Brunskill,ESL
Walter Buchannan,ESL
James Silk Buckingham,ESL
W E Buckley,ESL
James Wentworth Buller,ESL
x Bunsen,ESL
Luke Burke,ESL
George Busk,ESL
Oliver Byrne,ESL
Charles Duncan Cameron,ESL
Archibald Campbell,ESL
George (1) Campbell,ESL
George (2) Campbell,ESL
Walter Campbell,ESL
William Camps,ESL
Frederick Stanley Carpenter,ESL
George Carter,ESL
Richard Cavendish,ESL
Edwin Chadwick,ESL
Hugo Mavesyn Chadwick,ESL
Charles Harcourt Chambers,ESL
Escott Chambers,ESL
William Charlton,ESL
Frederick Chatfield,ESL
William Dinsdale Child,ESL
Robert Walker Childs,ESL
T J Cholmondeley,ESL
William Dingle Chowne,ESL
Henry Christy,ESL
James Graham Churcher,ESL
x Clark,ESL
James Clark,ESL
C Clarke,ESL
Hyde Clarke,ESL
John Clarke,ESL
Robert Clarke,ESL
William Aloysius Clavering,ESL
William Clay,ESL
John Clendinning,ESL
William Clift,ESL
Edward North Clifton,ESL
Thomas Coates,ESL
W  Spencer Cockings,ESL
Thomas Edward Colebrooke,ESL
John Sherrard Coleman,ESL
x Collier,ESL
W W Collins,ESL
x Colonsay,ESL
John Conolly,ESL
George Ford Copeland,ESL
Tullie Cornthwaite,ESL
W Coulson,ESL
John Crawfurd,ESL
Oswald John Crawfurd,ESL
W J Crichton,ESL
J  McGregor Croft,ESL
Thomas Francis Dillon Croker,ESL
Jonathan Sparrow Crowley,ESL
Richard Cull,ESL
Henry Syer Cuming,ESL
Richard S Cunliffe,ESL
Alexander Cunningham,ESL
Manockjee Cursetjee,ESL
George Cutler,ESL
Marie-Armand de Castera-Macaya D'Avezac,ESL
T Dakin,ESL
David Dale,ESL
G  Wythes Daniell,ESL
William Freeman Daniell,ESL
Robert Dukinfield Darbishire,ESL
P  Francis Dart,ESL
Charles Darwin,ESL
Erasmus (Ras) Darwin,ESL
George Webbe Dasent,ESL
George Henry Daw,ESL
William Boyd Dawkins,ESL
G T Day,ESL
George Dennis,ESL
M Des Barres,ESL
x Devonshire,ESL
Hugh Welch Diamond,ESL
John jun Dickinson,ESL
John Jun Dickinson,ESL
Henry Dickman,ESL
Charles Sheffield Dickson,ESL
Peter Dickson,ESL
Charles Wentworth Dilke,ESL
Jacob Ludwig Dohne,ESL
Cornelius Donovan,ESL
Gustavus Dressler,ESL
x Dublin,ESL
Samuel Duckworth,ESL
William Duckworth,ESL
David Duncan,ESL
Peter Martin Duncan,ESL
R  Murray Dundas,ESL
Alfred John Dunkin,ESL
Robert Dunn,ESL
x Dunraven & Mountearl,ESL
Patrick Frederick Durham,ESL
William Thistleton Dyer,ESL
George Windsor Earl,ESL
Joseph William Eastwood,ESL
John Edwards,ESL
Francis Egerton,ESL
George Granville Francis Egerton,ESL
x Egypt,ESL
John Elder,ESL
Walter Elliot,ESL
J H Elliott,ESL
James Ellis,ESL
John Elphinstone,ESL
Mountstuart Elphinstone,ESL
John E Erichsen,ESL
William Erle,ESL
Kennedy Erskine,ESL
William Euing,ESL
John Evans,ESL
William Fairbairn,ESL
Adam Storey Farrar,ESL
Adolphe Duchart Fauvet,ESL
W S Featherstone,ESL
Edwin Foxton Firby,ESL
James Firm,ESL
Anthony Lax Fisher,ESL
Morton Coates Fisher,ESL
Robert Fitzroy,ESL
William S Fitzwilliam,ESL
James William Fleming,ESL
John B Fletcher,ESL
Joseph Fletcher,ESL
John Wickham Flower,ESL
George Folsom,ESL
David Forbes,ESL
Richard Fort,ESL
G A Forteath,ESL
Robert Nicholas Fowler,ESL
William Fowler,ESL
Charles Henry Fox,ESL
Augustus Wollaston Franks,ESL
Thomas Fraser,ESL
William Freund,ESL
John Friend,ESL
Albert Fytche,ESL
Griffin Curtis Galt,ESL
Douglas Galton,ESL
Francis Galton,ESL
C T Gardner,ESL
E V Gardner,ESL
Peter Gardner,ESL
Thomas B Gascoyne,ESL
John Peter Gassiot,ESL
x Gawler,ESL
Enrico Hillyer Giglioli,ESL
William Gillespie,ESL
James William Glass,ESL
x Glasse,ESL
Albert Gledstanes,ESL
George Grenfell Glyn,ESL
Isaac Lyon Goldsmid,ESL
Thomas Gole,ESL
Richard Thomas Gore,ESL
John Gould,ESL
D G Goyder,ESL
x Granville,ESL
George Bellas Greenough,ESL
William Greenwell,ESL
William Rathbone Greg,ESL
Charles Edward Grey,ESL
George Grey,ESL
Henry Rowland Ellison Grey,ESL
John Griffith,ESL
Richard Trygarn Griffith,ESL
J C Griffiths,ESL
Richard Clewin Griffiths,ESL
John Grover,ESL
Augustus Guest,ESL
William Vernon Guise,ESL
John Henry Gurney,ESL
Alexander Guthrie,ESL
James Guthrie,ESL
Johann Franz ('Julius') Haast,ESL
William Hall,ESL
Henry Hallam,ESL
Alexander C Hamilton,ESL
Archibald Hamilton,ESL
Rowland Hamilton,ESL
F W Harrer,ESL
William Cornwallis Harris,ESL
Charles (1) Harrison,ESL
William G S Harrison,ESL
John E Harvey,ESL
John Hastings,ESL
Walter Hawkins,ESL
John Hay,ESL
Ferdinand Vandeveer Hayden,ESL
R W Haynes,ESL
Peter Christian Heldman,ESL
Alexander Henderson,ESL
Robert Henderson,ESL
Joseph Henry,ESL
James Hepburn,ESL
Robert Hepburn,ESL
B Hewitt,ESL
Jonas B Hewitt,ESL
James Heywood,ESL
Arthur Hill,ESL
Frederick Hindmarsh,ESL
x Hitchman,ESL
Thomas (1) Hodgkin,ESL
Brian Houghton Hodgson,ESL
Kirkman Daniel Hodgson,ESL
"x Hoeven, Van der",ESL
J W Holgate,ESL
Robert Hollond,ESL
x Holmberg,ESL
H N Holme,ESL
Joseph Hooker,ESL
Frederick William Hope,ESL
W J S Horton,ESL
John Camden Hotten,ESL
Alfred How,ESL
Henry Hoyle Howorth,ESL
T A Hughes,ESL
Thomas McKenny Hughes,ESL
"Alexander Humboldt, Von",ESL
George S  Lennon Hunt,ESL
James Hunt,ESL
John (2) Hunt,ESL
William Wilson Hunter,ESL
Frank J Husband,ESL
H A Husband,ESL
Thomas Henry Huxley,ESL
William Imrie,ESL
Robert Ingham,ESL
John Inglis,ESL
Robert M Inman,ESL
Arthur Constantine Ionides,ESL
J  Clayfield Ireland,ESL
x Isenburg,ESL
Henry (the father) Jackson,ESL
x Jagor,ESL
F H Janson,ESL
John Moore Jeffcott,ESL
Edmund Jeffries,ESL
x Johore,ESL
James Jones,ESL
William Jones,ESL
William Arthur Jones,ESL
William Jordan,ESL
J  Beete Jukes,ESL
J Kaines,ESL
J W  (1) Kaye,ESL
Walter K Kelly,ESL
James (1) Kennedy,ESL
Richard Hartley Kennedy,ESL
James Kernahan,ESL
David King,ESL
Joseph Charles King,ESL
Richard King,ESL
S W King,ESL
Phillip Kingsford,ESL
Charles Kingsley,ESL
Andrew Valentine Kirwan,ESL
Richard Kirwan,ESL
J L Knapp,ESL
William Knight,ESL
Robert Knox,ESL
Samuel Harley Kough,ESL
Samuel Laing,ESL
Jones Lamprey,ESL
Augustus Henry Lane Fox later Pitt Rivers,ESL
Andrew Lang,ESL
J Langlands,ESL
R Langlands,ESL
Robert Gordon Latham,ESL
Joseph Law,ESL
Edward Lawford,ESL
John Lawrence,ESL
Henry N Lay,ESL
Austen Henry Layard,ESL
x Layland,ESL
John Edward Lee,ESL
J G S Lefevre,ESL
x Lefroy,ESL
Joseph Leidy,ESL
Arthur Charles Wriothesley Lennox,ESL
Richard Lepsius,ESL
Karl Georg Friedrich Rudolf Leuckart,ESL
Malcolm Lewin,ESL
James Lewis,ESL
x Library of the Corporation of London,ESL
Joseph Lister,ESL
W J Little,ESL
Edmund Lloyd,ESL
Francis Lloyd,ESL
William Horton Lloyd,ESL
William Lockhart,ESL
Abraham Logan,ESL
J R Logan,ESL
x Londesborough,ESL
William Long,ESL
Horatio Love,ESL
x Lovewell,ESL
John Lubbock,ESL
Johann Constantin August Lucae,ESL
J W Lukis,ESL
John Gray Macfarlane,ESL
G Macgowan,ESL
K Mackenzie,ESL
Samuel Joseph Mackie,ESL
Lauchlan Mackinnon,ESL
Daniel Mackintosh,ESL
J Mackrell,ESL
Samuel Maclean,ESL
George Macleay,ESL
Andrew Maclure,ESL
Charles James Major,ESL
Charles Malcolm,ESL
William Elphinstone Malcolm,ESL
Alfred Mallalieu,ESL
